date,cash,positions_value,total_value,return_pct,num_positions
2026-08-13 18:05,1000.0,9000.0,10000.0,0.0,9
2026-08-13 21:28,6050.93,4012.66,10063.59,0.64,4
2026-08-14 00:04,1050.93,9012.66,10063.59,0.64,9
2026-08-14 06:04,50.93,10012.66,10063.59,0.64,10
2026-08-14 10:35,50.93,10012.66,10063.59,0.64,10
2026-08-14 14:31,7071.7,3008.84,10080.54,0.81,3
2026-08-14 17:42,2064.8,8008.5,10073.29,0.73,8
2026-08-14 20:00,5067.04,5006.16,10073.2,0.73,5
2026-08-14 21:03,1067.04,9006.09,10073.13,0.73,9
2026-08-14 22:47,1067.04,9006.09,10073.13,0.73,9
2026-08-14 23:53,1067.04,9006.09,10073.13,0.73,9
2026-08-15 03:05,1067.04,9006.09,10073.13,0.73,9
2026-08-15 05:00,1067.04,9006.09,10073.13,0.73,9
2026-08-15 05:58,1067.04,9006.09,10073.13,0.73,9
2026-08-15 09:00,2070.49,8002.64,10073.13,0.73,8
2026-08-15 09:55,2070.49,8002.64,10073.13,0.73,8
2026-08-15 10:51,2070.49,8002.64,10073.13,0.73,8
2026-08-15 12:02,2070.49,8002.64,10073.13,0.73,8
2026-08-15 13:53,1070.49,9002.64,10073.13,0.73,9
2026-08-15 14:52,1070.49,9002.64,10073.13,0.73,9
2026-08-15 15:45,1070.49,9002.64,10073.13,0.73,9
2026-08-15 17:46,1070.49,9002.64,10073.13,0.73,9
2026-08-15 18:02,1070.49,9002.64,10073.13,0.73,9
2026-08-15 19:40,1070.49,9002.64,10073.13,0.73,9
2026-08-15 20:01,1070.49,9002.64,10073.13,0.73,9
2026-08-15 21:41,1070.49,9002.64,10073.13,0.73,9
2026-08-15 22:01,1070.49,9002.64,10073.13,0.73,9
2026-08-15 23:40,1070.49,9002.64,10073.13,0.73,9
2026-08-16 00:02,1070.49,9002.64,10073.13,0.73,9
2026-08-16 03:33,1070.49,9002.64,10073.13,0.73,9
2026-08-16 05:04,1070.49,9002.64,10073.13,0.73,9
2026-08-16 07:19,1070.49,9002.64,10073.13,0.73,9
2026-08-16 09:00,1070.49,9002.64,10073.13,0.73,9
2026-08-16 09:56,1070.49,9002.64,10073.13,0.73,9
2026-08-16 10:52,1070.49,9002.64,10073.13,0.73,9
2026-08-16 11:43,1070.49,9002.64,10073.13,0.73,9
