date,cash,positions_value,total_value,return_pct,num_positions
2026-08-13 13:48,2000.0,8000.0,10000.0,0.0,8
2026-08-13 13:55,2000.0,8018.75,10018.75,0.19,8
2026-08-13 14:08,2000.0,8020.23,10020.23,0.2,8
2026-08-13 16:12,5992.95,3991.76,9984.71,-0.15,4
2026-08-13 19:49,3000.36,7002.45,10002.81,0.03,7
2026-08-13 22:24,1000.36,9003.13,10003.49,0.03,9
2026-08-14 05:12,1000.36,9003.13,10003.49,0.03,9
2026-08-14 09:32,0.36,10003.13,10003.49,0.03,10
2026-08-14 12:30,1000.36,9003.13,10003.49,0.03,9
2026-08-14 15:26,5977.15,4004.49,9981.65,-0.18,4
2026-08-14 18:12,1973.65,8001.98,9975.62,-0.24,8
2026-08-14 20:07,3966.9,6006.1,9973.0,-0.27,6
2026-08-14 21:45,966.9,9006.1,9973.0,-0.27,9
2026-08-14 23:50,966.9,9006.1,9973.0,-0.27,9
2026-08-15 03:03,966.9,9006.1,9973.0,-0.27,9
2026-08-15 04:57,966.9,9006.1,9973.0,-0.27,9
2026-08-15 05:56,966.9,9006.1,9973.0,-0.27,9
2026-08-15 07:19,966.9,9006.1,9973.0,-0.27,9
2026-08-15 08:03,966.9,9006.1,9973.0,-0.27,9
2026-08-15 09:45,1969.8,8003.2,9973.0,-0.27,8
2026-08-15 10:50,1969.8,8003.2,9973.0,-0.27,8
2026-08-15 11:40,1969.8,8003.2,9973.0,-0.27,8
2026-08-15 13:21,1969.8,8003.2,9973.0,-0.27,8
2026-08-15 14:01,969.8,9003.2,9973.0,-0.27,9
2026-08-15 15:02,969.8,9003.2,9973.0,-0.27,9
2026-08-15 15:58,969.8,9003.2,9973.0,-0.27,9
2026-08-15 16:55,969.8,9003.2,9973.0,-0.27,9
2026-08-15 17:42,969.8,9003.2,9973.0,-0.27,9
2026-08-15 19:01,969.8,9003.2,9973.0,-0.27,9
2026-08-15 19:55,969.8,9003.2,9973.0,-0.27,9
2026-08-15 20:51,969.8,9003.2,9973.0,-0.27,9
2026-08-15 21:41,969.8,9003.2,9973.0,-0.27,9
2026-08-15 22:49,969.8,9003.2,9973.0,-0.27,9
2026-08-15 23:40,969.8,9003.2,9973.0,-0.27,9
2026-08-16 03:16,969.8,9003.2,9973.0,-0.27,9
2026-08-16 05:03,969.8,9003.2,9973.0,-0.27,9
2026-08-16 07:18,969.8,9003.2,9973.0,-0.27,9
2026-08-16 08:02,969.8,9003.2,9973.0,-0.27,9
2026-08-16 09:47,969.8,9003.2,9973.0,-0.27,9
2026-08-16 10:51,969.8,9003.2,9973.0,-0.27,9
2026-08-16 13:41,1969.8,8003.2,9973.0,-0.27,8
2026-08-16 14:52,1969.8,8003.2,9973.0,-0.27,8
2026-08-16 15:43,1969.8,8003.2,9973.0,-0.27,8
2026-08-16 16:55,1969.8,8003.2,9973.0,-0.27,8
2026-08-16 17:40,2969.8,7003.2,9973.0,-0.27,7
2026-08-16 19:00,2969.8,7003.2,9973.0,-0.27,7
2026-08-16 19:41,1969.8,8003.2,9973.0,-0.27,8
2026-08-16 20:49,1969.8,8003.2,9973.0,-0.27,8
2026-08-16 21:40,1969.8,8003.2,9973.0,-0.27,8
2026-08-16 22:44,1969.8,8003.2,9973.0,-0.27,8
2026-08-16 23:39,1969.8,8003.2,9973.0,-0.27,8
2026-08-17 03:16,1969.8,8003.2,9973.0,-0.27,8
2026-08-17 05:22,969.8,9003.2,9973.0,-0.27,9
2026-08-17 08:03,969.8,9003.2,9973.0,-0.27,9
2026-08-17 10:08,969.8,9003.2,9973.0,-0.27,9
2026-08-17 11:45,969.8,9003.2,9973.0,-0.27,9
2026-08-17 13:56,3922.92,6011.57,9934.49,-0.66,6
2026-08-17 15:52,2933.15,7010.37,9943.52,-0.56,7
2026-08-17 15:53,2928.04,7018.53,9946.57,-0.53,7
2026-08-17 17:00,5899.49,4002.39,9901.87,-0.98,4
2026-08-17 18:02,2899.49,6999.29,9898.78,-1.01,7
2026-08-17 19:48,2896.29,7012.9,9909.19,-0.91,7
2026-08-17 21:00,2894.1,7007.39,9901.5,-0.99,7
2026-08-17 21:55,1894.1,8007.39,9901.5,-0.99,8
2026-08-17 22:54,2894.1,7007.39,9901.5,-0.99,7
2026-08-17 23:46,2896.82,7004.68,9901.5,-0.99,7
