date,cash,positions_value,total_value,return_pct,num_positions
2026-08-13 16:41,3000.0,7000.0,10000.0,0.0,7
2026-08-13 19:58,6031.92,3998.26,10030.18,0.3,4
2026-08-13 22:24,1031.92,8999.53,10031.45,0.31,9
2026-08-14 05:13,1031.92,8999.53,10031.45,0.31,9
2026-08-14 09:30,1031.92,8999.53,10031.45,0.31,9
2026-08-14 12:00,1031.92,8999.53,10031.45,0.31,9
2026-08-14 15:09,8027.01,1996.83,10023.84,0.24,2
2026-08-14 18:10,5026.97,5000.0,10026.97,0.27,5
2026-08-14 20:05,5021.69,4998.66,10020.35,0.2,5
2026-08-14 21:02,2021.69,7998.66,10020.35,0.2,8
2026-08-14 21:55,2021.69,7998.66,10020.35,0.2,8
2026-08-14 22:54,2021.69,7998.66,10020.35,0.2,8
2026-08-14 23:52,2021.69,7998.66,10020.35,0.2,8
2026-08-15 03:03,2021.69,7998.66,10020.35,0.2,8
2026-08-15 04:51,2021.69,7998.66,10020.35,0.2,8
2026-08-15 05:55,2021.69,7998.66,10020.35,0.2,8
2026-08-15 07:19,2021.69,7998.66,10020.35,0.2,8
2026-08-15 08:02,2021.69,7998.66,10020.35,0.2,8
2026-08-15 09:03,2021.69,7998.66,10020.35,0.2,8
2026-08-15 09:54,2021.69,7998.66,10020.35,0.2,8
2026-08-15 10:51,2021.69,7998.66,10020.35,0.2,8
2026-08-15 11:39,2021.69,7998.66,10020.35,0.2,8
2026-08-15 12:01,2021.69,7998.66,10020.35,0.2,8
2026-08-15 13:43,2021.69,7998.66,10020.35,0.2,8
2026-08-15 14:45,2021.69,7998.66,10020.35,0.2,8
2026-08-15 15:40,2021.69,7998.66,10020.35,0.2,8
2026-08-15 16:02,2021.69,7998.66,10020.35,0.2,8
2026-08-15 16:56,2021.69,7998.66,10020.35,0.2,8
2026-08-15 17:49,2021.69,7998.66,10020.35,0.2,8
2026-08-15 19:00,2021.69,7998.66,10020.35,0.2,8
2026-08-15 19:47,2021.69,7998.66,10020.35,0.2,8
2026-08-15 20:47,2021.69,7998.66,10020.35,0.2,8
2026-08-15 21:40,2021.69,7998.66,10020.35,0.2,8
2026-08-15 22:00,2021.69,7998.66,10020.35,0.2,8
2026-08-15 22:54,2021.69,7998.66,10020.35,0.2,8
2026-08-15 23:40,2021.69,7998.66,10020.35,0.2,8
2026-08-16 00:01,2021.69,7998.66,10020.35,0.2,8
2026-08-16 03:28,2021.69,7998.66,10020.35,0.2,8
2026-08-16 06:00,2021.69,7998.66,10020.35,0.2,8
2026-08-16 07:47,2021.69,7998.66,10020.35,0.2,8
2026-08-16 09:00,2021.69,7998.66,10020.35,0.2,8
2026-08-16 09:55,2021.69,7998.66,10020.35,0.2,8
2026-08-16 10:52,2021.69,7998.66,10020.35,0.2,8
2026-08-16 11:42,2021.69,7998.66,10020.35,0.2,8
2026-08-16 13:21,3021.69,6998.66,10020.35,0.2,7
2026-08-16 14:02,3021.69,6998.66,10020.35,0.2,7
2026-08-16 14:56,3021.69,6998.66,10020.35,0.2,7
2026-08-16 15:49,3021.69,6998.66,10020.35,0.2,7
2026-08-16 16:54,3021.69,6998.66,10020.35,0.2,7
